epoch,phase,train_loss,val_loss,lr,time_s
1,probe,31.61879184142742,30.65318901710261,0.001,343.8725974559784
2,probe,29.04238007639825,28.907701766568852,0.0008535533905932737,343.79236793518066
3,probe,28.86223952573338,28.840561798195434,0.0005,349.12302017211914
4,probe,28.808419523137765,28.812643487469042,0.00014644660940672628,346.4348430633545
5,probe,28.77756709303899,28.796932463552437,0.0,346.9564850330353
6,finetune,28.676050228265495,28.67973544550877,5e-05,349.1174347400665
7,finetune,27.730592956917263,27.338109776864645,4.9786121534345265e-05,355.12111735343933
8,finetune,27.254519694960713,27.111719711154116,4.914814565722671e-05,346.5107398033142
9,finetune,27.104018747855285,27.000940048616695,4.809698831278217e-05,346.61165046691895
10,finetune,27.027806148700606,26.957319907892764,4.665063509461097e-05,347.4279179573059
11,finetune,26.984368747701826,26.91879533007254,4.483383350728088e-05,345.0102970600128
12,finetune,26.96157322179462,26.914201025869332,4.267766952966369e-05,358.7524254322052
13,finetune,26.941245362881453,26.892538475834467,4.021903572521802e-05,353.34871673583984
14,finetune,26.917739358186136,26.877298897387934,3.7500000000000003e-05,346.4681429862976
15,finetune,26.915070280323043,26.866686721253238,3.456708580912725e-05,348.1293420791626
16,finetune,26.9026098196758,26.85797162772783,3.1470476127563024e-05,348.8994755744934
17,finetune,26.8894277231087,26.856447263480792,2.82631548055013e-05,457.2479281425476
18,finetune,26.8881635057663,26.847452226027944,2.5000000000000005e-05,357.67766547203064
19,finetune,26.87989624347827,26.84894242629506,2.1736845194498715e-05,349.97144412994385
20,finetune,26.873322666227477,26.839194385054842,1.852952387243699e-05,350.0638065338135
21,finetune,26.868837775310727,26.83673136842017,1.5432914190872767e-05,348.2048349380493
22,finetune,26.863498804711554,26.831289428511475,1.2500000000000009e-05,346.45992279052734
23,finetune,26.863237180577276,26.829817061330758,9.780964274781986e-06,349.2659673690796
24,finetune,26.862528763534783,26.82744307923161,7.322330470336315e-06,350.9156470298767
25,finetune,26.85805833992759,26.826490009532254,5.166166492719125e-06,348.213769197464
26,finetune,26.854003152979853,26.826726564394882,3.3493649053890326e-06,350.37783455848694
27,finetune,26.855235651878676,26.825672405217986,1.9030116872178316e-06,346.6449658870697
28,finetune,26.85165786743164,26.82398058698068,8.51854342773295e-07,350.07683205604553
29,finetune,26.850620343854754,26.823572271010455,2.1387846565474045e-07,346.23977875709534
30,finetune,26.851600488676755,26.823438307818243,0.0,347.1417303085327
