question,n_valid,mse,mae,r2,pearson_r,accuracy,f1_weighted
smooth-or-featured,19572,0.012110179290175438,0.08998697251081467,0.8632371425628662,0.9782197,0.9653075822603719,0.965317057591986
disk-edge-on,8107,0.003120367880910635,0.04141344130039215,0.983944833278656,0.99562573,0.9918588873812755,0.991848017434686
has-spiral-arms,6188,0.010012669488787651,0.07758829742670059,0.92218416929245,0.97862035,0.967032967032967,0.9666485435243339
bar,6188,0.010793067514896393,0.08456974476575851,0.8303755521774292,0.9712467,0.9343891402714932,0.9344249077268856
bulge-size,6188,0.01683441549539566,0.09414037317037582,0.6672484874725342,0.96093076,0.9702650290885585,0.9700585413464394
how-rounded,8915,0.01153700053691864,0.07884218543767929,0.8986554145812988,0.9747287,0.9578238923163208,0.9578276835428438
merging,19572,0.01023027952760458,0.07541810721158981,0.8469885587692261,0.9742053,0.9700592683425301,0.9699124868768725
